transaction_id,decision,risk_score,is_fraud,valid_card,issuer,masked_card_number,known_fraud_label,normalized_user_id,reasons
ec750710-4f30-4403-8edf-91a61703f96c_row_1,approved,0.044,False,True,MASTERCARD,**** **** **** 4230,,user_001,is_foreign impact=-0.0876 | new_device impact=-0.0817 | merchant_risk_score impact=-0.0663 | card_age_risk impact=-0.0658 | amount impact=-0.0485
ec750710-4f30-4403-8edf-91a61703f96c_row_2,approved,0.1316,False,True,VISA,**** **** **** 9623,,user_002,is_foreign impact=-0.1200 | merchant_risk_score impact=-0.0813 | card_age_risk impact=-0.0802 | amount impact=-0.0590 | new_device impact=+0.0448 | First seen device
ec750710-4f30-4403-8edf-91a61703f96c_row_3,approved,0.0161,False,True,MASTERCARD,**** **** **** 0606,,user_003,is_foreign impact=-0.0861 | new_device impact=-0.0789 | merchant_risk_score impact=-0.0633 | card_age_risk impact=-0.0629 | amount impact=-0.0466
ec750710-4f30-4403-8edf-91a61703f96c_row_4,approved,0.0644,False,True,MASTERCARD,**** **** **** 4230,,user_001,is_foreign impact=-0.0894 | new_device impact=-0.0806 | card_age_risk impact=-0.0681 | merchant_risk_score impact=-0.0675 | amount impact=-0.0518
ec750710-4f30-4403-8edf-91a61703f96c_row_5,approved,0.0408,False,True,VISA,**** **** **** 9623,,user_002,is_foreign impact=-0.0872 | new_device impact=-0.0780 | card_age_risk impact=-0.0662 | merchant_risk_score impact=-0.0657 | amount impact=-0.0498
ec750710-4f30-4403-8edf-91a61703f96c_row_6,approved,0.0367,False,True,MASTERCARD,**** **** **** 0606,,user_003,is_foreign impact=-0.0868 | new_device impact=-0.0775 | card_age_risk impact=-0.0662 | merchant_risk_score impact=-0.0656 | amount impact=-0.0500
ec750710-4f30-4403-8edf-91a61703f96c_row_7,approved,0.0844,False,True,MASTERCARD,**** **** **** 4230,,user_001,is_foreign impact=-0.0881 | new_device impact=-0.0801 | card_age_risk impact=-0.0670 | merchant_risk_score impact=-0.0660 | amount impact=-0.0532
ec750710-4f30-4403-8edf-91a61703f96c_row_8,approved,0.0644,False,True,VISA,**** **** **** 9623,,user_002,is_foreign impact=-0.0862 | new_device impact=-0.0776 | card_age_risk impact=-0.0653 | merchant_risk_score impact=-0.0645 | amount impact=-0.0514
ec750710-4f30-4403-8edf-91a61703f96c_row_9,approved,0.0612,False,True,MASTERCARD,**** **** **** 0606,,user_003,is_foreign impact=-0.0861 | new_device impact=-0.0775 | card_age_risk impact=-0.0652 | merchant_risk_score impact=-0.0643 | amount impact=-0.0517
ec750710-4f30-4403-8edf-91a61703f96c_row_10,blocked,0.3195,True,True,MASTERCARD,**** **** **** 4230,,user_001,is_foreign impact=-0.1192 | merchant_risk_score impact=-0.0855 | card_age_risk impact=-0.0854 | amount impact=-0.0697 | new_device impact=+0.0446 | Multiple transactions in seconds | First seen device
