transaction_id,decision,risk_score,is_fraud,valid_card,issuer,masked_card_number,known_fraud_label,normalized_user_id,reasons
batch_tx_001,blocked,0.2942,True,True,VISA,**** **** **** 9403,,user_001,device_tx_count_24h impact=-0.0721 | seconds_since_last_tx impact=+0.0662 | distance_from_home_km impact=-0.0634 | geo_velocity_kmh impact=+0.0523 | tx_count_last_5m impact=-0.0500 | Impossible geo velocity
batch_tx_002,blocked,0.3994,True,True,VISA,**** **** **** 9623,,user_002,device_tx_count_24h impact=+0.0809 | distance_from_home_km impact=+0.0669 | seconds_since_last_tx impact=+0.0662 | geo_velocity_kmh impact=+0.0523 | tx_count_last_5m impact=-0.0500 | Impossible geo velocity
batch_tx_003,blocked,1.0,True,False,VISA,**** **** **** 3856,,user_003,Card present in blacklist
batch_tx_004,blocked,0.4788,True,True,MASTERCARD,**** **** **** 4230,,user_001,device_tx_count_24h impact=-0.0721 | seconds_since_last_tx impact=+0.0648 | distance_from_home_km impact=-0.0634 | merchant_risk_score impact=+0.0531 | geo_velocity_kmh impact=+0.0523 | Impossible geo velocity | First seen device
batch_tx_005,blocked,0.4651,True,True,MASTERCARD,**** **** **** 1674,,user_002,device_tx_count_24h impact=-0.0721 | distance_from_home_km impact=+0.0669 | seconds_since_last_tx impact=+0.0648 | merchant_risk_score impact=+0.0531 | geo_velocity_kmh impact=+0.0523 | Foreign transaction | Impossible geo velocity
batch_tx_006,approved,0.2429,False,True,MASTERCARD,**** **** **** 0606,,user_003,device_tx_count_24h impact=+0.0809 | distance_from_home_km impact=+0.0669 | seconds_since_last_tx impact=-0.0666 | merchant_risk_score impact=+0.0531 | geo_velocity_kmh impact=-0.0517
batch_tx_007,blocked,0.3362,True,True,VISA,**** **** **** 9403,,user_001,device_tx_count_24h impact=-0.0721 | seconds_since_last_tx impact=-0.0646 | distance_from_home_km impact=-0.0634 | merchant_risk_score impact=+0.0531 | geo_velocity_kmh impact=+0.0523 | Impossible geo velocity
batch_tx_008,blocked,0.591,True,True,VISA,**** **** **** 9623,,user_002,device_tx_count_24h impact=-0.0720 | distance_from_home_km impact=+0.0649 | seconds_since_last_tx impact=+0.0648 | geo_velocity_kmh impact=+0.0523 | merchant_risk_score impact=+0.0511 | Foreign transaction | Impossible geo velocity | First seen device
batch_tx_009,blocked,1.0,True,False,VISA,**** **** **** 3856,,user_003,Card present in blacklist
batch_tx_010,blocked,0.5235,True,True,MASTERCARD,**** **** **** 4230,,user_001,device_tx_count_24h impact=+0.0750 | seconds_since_last_tx impact=-0.0656 | distance_from_home_km impact=-0.0654 | geo_velocity_kmh impact=+0.0523 | merchant_risk_score impact=+0.0511 | Amount exceeds 100000 | Foreign transaction | Impossible geo velocity
batch_tx_011,blocked,1.0,True,False,UNKNOWN,**** **** **** 9999,,user_002,Luhn checksum failed | BIN not issued by bank | Unsupported card issuer
batch_tx_012,approved,0.1651,False,True,MASTERCARD,**** **** **** 0606,,user_003,device_tx_count_24h impact=-0.0721 | distance_from_home_km impact=+0.0669 | seconds_since_last_tx impact=-0.0666 | merchant_risk_score impact=+0.0531 | geo_velocity_kmh impact=-0.0517
