amount,hour_of_day,is_foreign,distance_from_home_km,geo_velocity_kmh,new_device,tx_count_last_1h,tx_count_last_5m,avg_amount_deviation,burst_count_last_1m,device_tx_count_24h,merchant_risk_score,card_age_risk,profile_avg_spend,seconds_since_last_tx,is_fraud
2345.23,14,0,16.74,12.3,0,4.7,1.09,0.4544,0.59,1.16,0.2,0.1281,1612.55,5569.11,0
5784.95,20,0,26.45,70.71,0,5.05,0.01,0.437,0.81,4.49,0.2,0.2021,4025.6,4318.77,0
923.42,10,0,43.08,41.27,0,2.32,0.09,0.6937,0.46,1.62,0.2,0.3767,3014.68,3076.56,0
7106.52,18,0,69.28,84.55,0,1.23,0.46,0.6417,0.29,1.4,0.2,0.1698,4328.88,3436.22,0
3045.69,18,0,42.63,80.42,0,4.51,1.37,0.3015,0.07,4.17,0.2,0.2602,4360.58,5765.94,0
7418.05,14,0,82.15,101.14,0,4.88,0.46,1.7325,0.03,2.58,0.2,0.1803,2714.77,5217.92,0
2654.49,22,0,47.48,109.75,0,3.29,0.53,0.5124,0.25,3.81,0.2,0.1788,5443.65,11270.29,0
1910.7,11,0,61.14,10.91,0,1.24,0.22,0.4205,0.63,4.96,0.2,0.2266,3297.3,2829.15,0
4327.09,7,0,81.63,13.75,0,5.42,1.5,0.2767,0.77,2.7,0.2,0.1881,5982.55,4362.16,0
130944.12,4,0,4864.53,551.09,0,16.42,5.54,26.5706,3.6,9.74,0.7404,0.8767,4749.41,553.85,1
4011.12,10,0,111.49,105.45,0,5.16,0.62,0.0439,0.06,5.39,0.2,0.3841,4195.25,3187.59,0
6132.7,11,0,15.41,57.03,0,3.75,0.53,2.3855,0.87,3.12,0.2,0.1635,1811.46,10536.6,0
2631.39,18,0,52.57,62.11,0,1.61,0.45,0.0941,0.34,3.94,0.2,0.169,2405.18,5367.52,0
45064.81,0,0,1195.2,676.1,0,10.14,3.66,9.3837,5.81,11.71,0.8182,0.7923,4339.96,485.46,1
3562.2,20,0,49.33,103.66,0,1.27,1.31,0.8398,0.65,1.3,0.2,0.3185,1936.19,14769.6,0
98850.01,1,1,2939.78,687.32,0,12.43,7.31,40.8474,4.65,6.51,0.9498,0.818,2362.16,581.55,1
1497.23,22,0,57.76,103.76,0,5.51,0.33,0.7185,0.0,2.95,0.2,0.378,5319.13,14519.1,0
5897.94,22,0,18.58,35.6,0,5.84,1.16,0.2726,0.54,4.74,0.2,0.1171,4634.66,11263.68,0
1427.98,9,0,102.16,8.22,0,1.34,1.72,0.7325,0.4,5.71,0.2,0.2709,5337.24,11178.49,0
120040.3,4,1,8451.53,644.05,0,10.39,4.98,63.2296,5.02,9.0,0.779,0.7759,1868.93,48.16,1
7969.55,9,0,64.52,60.71,0,1.66,0.7,0.3298,0.07,2.22,0.2,0.1855,5993.04,8898.59,0
7874.06,7,0,80.14,66.55,0,5.66,0.21,1.7519,0.88,2.32,0.2,0.3669,2861.33,13827.15,0
41860.19,2,1,5927.6,700.78,1,17.05,7.23,14.1234,3.28,10.24,0.7692,0.4018,2767.9,463.82,1
5981.6,20,0,67.31,13.42,0,5.73,1.38,1.2329,0.15,1.18,0.2,0.2108,2678.8,10750.91,0
3044.28,8,0,107.87,25.21,0,2.25,0.21,0.8032,0.78,5.42,0.2,0.2219,1688.23,11854.72,0
156306.0,1,0,808.21,1149.74,1,17.31,7.01,26.497,5.59,14.11,0.7667,0.7937,5684.46,69.32,1
1934.98,21,0,41.96,98.46,0,5.36,0.45,0.6392,0.66,2.99,0.2,0.1836,5363.67,2924.62,0
